tweet_id,tweet,sentiment,gender
1790240517,,positive,Female
2659644516,,positive,Male
4346763911,,positive,Male
5020452215,,positive,Female
5014008695,,positive,Female
5729884307,,negative,Male
2722166480,,positive,Female
5280295442,,negative,Female
4952617995,,positive,Female
1882103195,,positive,Female
2072007065,,positive,Female
1851075307,,negative,Female
2482197026,,negative,Male
3268441204,,negative,Female
1826322575,,negative,Female
3718085686,,positive,Female
1818748721,,negative,Female
5208137886,,negative,Female
1556294540,,positive,Male
1553519471,,positive,Female
3080197489,,positive,Female
4479934959,,positive,Male
5347709835,,positive,Female
5098652943,,positive,Female
5570761057,,negative,Female
5302920133,,negative,Female
1931670515,,negative,Female
4156116948,,negative,Female
2138128043,,negative,Male
4508694324,,negative,Female
1839845192,,positive,Female
5194583204,,negative,Male
3488204964,,positive,Female
3627861442,,negative,Male
2074343149,,positive,Female
1869996951,,positive,Female
1587003821,,positive,Female
5125911977,,negative,Male
6173154827,,negative,Female
3551057260,,negative,Female
6193408056,,negative,Female
2061163776,,negative,Female
5330345959,,positive,Female
2475074535,,positive,Male
5092753478,,negative,Female
6044618685,,negative,Female
2887511674,,negative,Male
2691837371,,positive,Female
1805759240,,negative,Male
1550513589,,positive,Male
2839690037,,positive,Female
1769381504,,positive,Female
3291538903,,positive,Female
1540180189,,positive,Female
1741414998,,positive,Female
3490803786,,negative,Female
3265911325,,positive,Male
5768395914,,positive,Male
1584872833,,positive,Female
1607990345,,positive,Female
3898023151,,negative,Male
1792140274,,positive,Female
2587732971,,positive,Female
2451162476,,positive,Female
4795064676,,positive,Female
5580738297,,negative,Male
4911521405,,positive,Female
4002953125,,positive,Male
1889231075,,positive,Female
4424211015,,negative,Male
1602542627,,positive,Female
5105074768,,positive,Female
4387532780,,positive,Male
1768863166,,positive,Female
1703526303,,negative,Male
1608869339,,positive,Female
1741418743,,positive,Female
1993327576,,positive,Female
1917958723,,negative,Female
5886365676,,positive,Female
3635677220,,positive,Female
1892479665,,negative,Male
3842919788,,positive,Female
4597128054,,positive,Male
4838694205,,positive,Male
4570363161,,negative,Female
2207746084,,positive,Male
3823692609,,positive,Male
1686387856,,negative,Male
1676794266,,positive,Female
2063819620,,positive,Female
5598494660,,negative,Female
1638020075,,negative,Male
4538090418,,positive,Male
4591069689,,positive,Female
1681938095,,negative,Male
1601600856,,negative,Female
2061057768,,negative,Female
5365680835,,negative,Male
1590896205,,positive,Male
3349902599,,negative,Female
4899952351,,negative,Male
2051951341,,negative,Female
4353287284,,negative,Female
2818636997,,positive,Female
6105013704,,negative,Male
1667362929,,positive,Female
4034381393,,positive,Female
2864086330,,positive,Female
1827673195,,positive,Female
1998859889,,positive,Female
1922475006,,positive,Female
5292142610,,positive,Male
2408677455,,positive,Male
4577324899,,positive,Female
3754578636,,positive,Male
1815966579,,positive,Male
2571810854,,positive,Female
2297270511,,positive,Female
4561223041,,positive,Female
1731445186,,negative,Male
5558470143,,positive,Female
5415561710,,negative,Female
5507426590,,negative,Male
3551783401,,positive,Male
1766283068,,positive,Female
3538116319,,positive,Male
5123161932,,negative,Female
2925079195,,positive,Male
